tab_index,query,start_time,end_time,duration_s,status,notes,screenshot,exception
45,auto query 45,2025-09-30T08:02:41.601207Z,2025-09-30T08:02:42.854098Z,1.253,ok, result_links=0,,
46,auto query 46,2025-09-30T08:02:43.260725Z,2025-09-30T08:02:44.437719Z,1.177,ok, result_links=0,,
47,auto query 47,2025-09-30T08:02:44.863939Z,2025-09-30T08:02:46.037651Z,1.174,ok, result_links=6,,
48,auto query 48,2025-09-30T08:02:46.474329Z,2025-09-30T08:02:47.582940Z,1.109,ok, result_links=0,,
49,auto query 49,2025-09-30T08:02:48.003447Z,2025-09-30T08:02:49.197037Z,1.194,ok, result_links=0,,
50,auto query 50,2025-09-30T08:02:49.618717Z,2025-09-30T08:02:50.770592Z,1.152,ok, result_links=0,,
51,auto query 51,2025-09-30T08:02:51.189483Z,2025-09-30T08:02:52.253811Z,1.064,ok, result_links=0,,
52,auto query 52,2025-09-30T08:02:52.670443Z,2025-09-30T08:02:53.883759Z,1.213,ok, result_links=5,,
53,auto query 53,2025-09-30T08:02:54.351467Z,2025-09-30T08:02:55.575468Z,1.224,ok, result_links=8,,
54,auto query 54,2025-09-30T08:02:56.061511Z,2025-09-30T08:02:57.247127Z,1.186,ok, result_links=0,,
55,auto query 55,2025-09-30T08:02:57.665257Z,2025-09-30T08:02:58.695250Z,1.03,ok, result_links=0,,
56,auto query 56,2025-09-30T08:02:59.107658Z,2025-09-30T08:03:00.111857Z,1.004,ok, result_links=3,,
57,auto query 57,2025-09-30T08:03:00.541239Z,2025-09-30T08:03:01.628354Z,1.087,ok, result_links=0,,
58,auto query 58,2025-09-30T08:03:02.045501Z,2025-09-30T08:03:03.055583Z,1.01,ok, result_links=0,,
59,auto query 59,2025-09-30T08:03:03.471552Z,2025-09-30T08:03:04.453270Z,0.982,ok, result_links=0,,
60,auto query 60,2025-09-30T08:03:04.870987Z,2025-09-30T08:03:06.106545Z,1.236,ok, result_links=0,,
61,auto query 61,2025-09-30T08:03:06.533665Z,2025-09-30T08:03:07.648729Z,1.115,ok, result_links=0,,
62,auto query 62,2025-09-30T08:03:08.075314Z,2025-09-30T08:03:09.039156Z,0.964,ok, result_links=0,,
63,auto query 63,2025-09-30T08:03:09.472099Z,2025-09-30T08:03:10.621150Z,1.149,ok, result_links=0,,
64,auto query 64,2025-09-30T08:03:11.028026Z,2025-09-30T08:03:12.042970Z,1.015,ok, result_links=6,,
65,auto query 65,2025-09-30T08:03:12.494436Z,2025-09-30T08:03:13.524380Z,1.03,ok, result_links=0,,
66,auto query 66,2025-09-30T08:03:13.941850Z,2025-09-30T08:03:14.979602Z,1.038,ok, result_links=0,,
67,auto query 67,2025-09-30T08:03:15.402268Z,2025-09-30T08:03:16.498678Z,1.096,ok, result_links=0,,
68,auto query 68,2025-09-30T08:03:16.919830Z,2025-09-30T08:03:18.229723Z,1.31,ok, result_links=0,,
69,auto query 69,2025-09-30T08:03:18.668677Z,2025-09-30T08:03:19.848551Z,1.18,ok, result_links=0,,
70,auto query 70,2025-09-30T08:03:20.270090Z,2025-09-30T08:03:21.375982Z,1.106,ok, result_links=0,,
71,auto query 71,2025-09-30T08:03:21.802572Z,2025-09-30T08:03:22.975108Z,1.173,ok, result_links=0,,
72,auto query 72,2025-09-30T08:03:23.376484Z,2025-09-30T08:03:24.315639Z,0.939,ok, result_links=0,,
73,auto query 73,2025-09-30T08:03:24.736563Z,2025-09-30T08:03:25.663345Z,0.927,ok, result_links=0,,
74,auto query 74,2025-09-30T08:03:26.073967Z,2025-09-30T08:03:27.119721Z,1.046,ok, result_links=0,,
75,auto query 75,2025-09-30T08:03:27.544130Z,2025-09-30T08:03:28.455557Z,0.911,ok, result_links=0,,
76,auto query 76,2025-09-30T08:03:28.874774Z,2025-09-30T08:03:29.922076Z,1.047,ok, result_links=0,,
77,auto query 77,2025-09-30T08:03:30.329395Z,2025-09-30T08:03:31.314261Z,0.985,ok, result_links=0,,
78,auto query 78,2025-09-30T08:03:31.741253Z,2025-09-30T08:03:32.750480Z,1.009,ok, result_links=0,,
79,auto query 79,2025-09-30T08:03:33.174660Z,2025-09-30T08:03:34.106839Z,0.932,ok, result_links=0,,
80,auto query 80,2025-09-30T08:03:34.541391Z,2025-09-30T08:03:35.650211Z,1.109,ok, result_links=0,,
81,auto query 81,2025-09-30T08:03:36.062208Z,2025-09-30T08:03:37.013792Z,0.952,ok, result_links=4,,
82,auto query 82,2025-09-30T08:03:37.477012Z,2025-09-30T08:03:38.558001Z,1.081,ok, result_links=4,,
